%% LAL: 7.1.5 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALFrame: 1.6.0 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALMetaIO: 2.1.0 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALSimulation: 3.1.0 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALBurst: 1.5.10 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALInspiral: 2.0.4 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALPulsar: 3.1.1 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALInference: 3.0.1 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% LALApps: 7.4.0 (UNCLEAN 53aa4afe025550f99f1042f83420085e09e6a5fc)
%% argv[0]: '/home/m206265/.local/bin/lalapps_ComputeAntennaPattern'
%% argv[1]: '-a'
%% argv[2]: '1.45968'
%% argv[3]: '-d'
%% argv[4]: '0.38422'
%% argv[5]: '--ephemSun=/home/m206265/lalapps_work/data/sun00-19-DE405.dat'
%% argv[6]: '--ephemEarth=/home/m206265/lalapps_work/data/earth00-19-DE405.dat'
%% argv[7]: '-I'
%% argv[8]: 'L1'
%% argv[9]: '-T'
%% argv[10]: '/home/m206265/lalapps_work/data/O2_1_L1_tslist.txt'
%% argv[11]: '--Tsft=1800'
%% argv[12]: '--noiseSqrtShX=0.00751'
%% argv[13]: '-o'
%% argv[14]: 'AntPatt_L1.txt'
%% argv[15]: '-O'
%% argv[16]: 'ABCD_L1.txt'
%% columns:
%% Alpha   Delta       tGPS       a(t)         b(t)
1.4596800  0.3842200  1168662326   0.66799980  -0.70417070
1.4596800  0.3842200  1168664126   0.56353462  -0.75588417
1.4596800  0.3842200  1168665926   0.45009479  -0.78392422
1.4596800  0.3842200  1168667726   0.33405048  -0.78715473
1.4596800  0.3842200  1168669526   0.22192156  -0.76564753
1.4596800  0.3842200  1168671326   0.11995837  -0.72064668
1.4596800  0.3842200  1168673126   0.03373569  -0.65453500
1.4596800  0.3842200  1168674926  -0.03219986  -0.57063609
1.4596800  0.3842200  1168676726  -0.07462212  -0.47303247
1.4596800  0.3842200  1168693450   0.42321169   0.32300234
1.4596800  0.3842200  1168695250   0.48702788   0.34690505
1.4596800  0.3842200  1168697050   0.53421640   0.35912853
1.4596800  0.3842200  1168723205   0.24680531   0.44410661
1.4596800  0.3842200  1168725005   0.30822325   0.43269408
1.4596800  0.3842200  1168726805   0.38458207   0.40676564
1.4596800  0.3842200  1168728605   0.47131258   0.36469886
1.4596800  0.3842200  1168730405   0.56296015   0.30577311
1.4596800  0.3842200  1168732205   0.65355664   0.23029202
1.4596800  0.3842200  1168734547   0.75985944   0.10965641
1.4596800  0.3842200  1168736347   0.82546639   0.00291304
1.4596800  0.3842200  1168739193   0.88821447  -0.18118751
1.4596800  0.3842200  1168740993   0.89695716  -0.30048794
1.4596800  0.3842200  1168742793   0.87984657  -0.41618678
1.4596800  0.3842200  1168744593   0.83714259  -0.52331758
1.4596800  0.3842200  1168746393   0.77071810  -0.61715442
1.4596800  0.3842200  1168748193   0.68396705  -0.69350493
1.4596800  0.3842200  1168749993   0.58155870  -0.74893159
1.4596800  0.3842200  1168761233  -0.03646001  -0.56333053
1.4596800  0.3842200  1168763033  -0.07692170  -0.46483031
1.4596800  0.3842200  1168764833  -0.09209743  -0.35759005
1.4596800  0.3842200  1168766633  -0.08202511  -0.24642375
1.4596800  0.3842200  1168768433  -0.04833210  -0.13605909
1.4596800  0.3842200  1168770233   0.00587440  -0.03086736
1.4596800  0.3842200  1168780924   0.47116083   0.34164926
1.4596800  0.3842200  1168782724   0.52318609   0.35682076
1.4596800  0.3842200  1168788907   0.55416369   0.35148081
1.4596800  0.3842200  1168790707   0.52159268   0.34487641
1.4596800  0.3842200  1168792507   0.47506461   0.34071937
1.4596800  0.3842200  1168794307   0.41909403   0.34078887
1.4596800  0.3842200  1168802880   0.18740621   0.40570873
1.4596800  0.3842200  1168804680   0.17727333   0.42405528
1.4596800  0.3842200  1168806480   0.18744218   0.43819109
1.4596800  0.3842200  1168808280   0.21838367   0.44493070
1.4596800  0.3842200  1168810080   0.26903164   0.44119620
1.4596800  0.3842200  1168811880   0.33682626   0.42429724
1.4596800  0.3842200  1168813680   0.41788405   0.39214134
1.4596800  0.3842200  1168815480   0.50724518   0.34344617
1.4596800  0.3842200  1168817280   0.59920824   0.27788997
1.4596800  0.3842200  1168819080   0.68770170   0.19618107
1.4596800  0.3842200  1168820880   0.76671588   0.10009655
1.4596800  0.3842200  1168822680   0.83069563  -0.00759267
1.4596800  0.3842200  1168824480   0.87492657  -0.12323785
1.4596800  0.3842200  1168826280   0.89588177  -0.24249746
1.4596800  0.3842200  1168828080   0.89143610  -0.36057499
1.4596800  0.3842200  1168829880   0.86106586  -0.47249204
1.4596800  0.3842200  1168831680   0.80586910  -0.57337195
1.4596800  0.3842200  1168833480   0.72850966  -0.65872157
1.4596800  0.3842200  1168835280   0.63307714  -0.72471702
1.4596800  0.3842200  1168837080   0.52479476  -0.76839948
1.4596800  0.3842200  1168838880   0.40971106  -0.78788227
1.4596800  0.3842200  1168840680   0.29429391  -0.78244573
1.4596800  0.3842200  1168842480   0.18501660  -0.75256342
1.4596800  0.3842200  1168849547  -0.08187315  -0.44451874
1.4596800  0.3842200  1168851347  -0.09208813  -0.33613732
1.4596800  0.3842200  1168853147  -0.07724673  -0.22476336
1.4596800  0.3842200  1168854947  -0.03928137  -0.11507814
1.4596800  0.3842200  1168856747   0.01844205  -0.01135155
1.4596800  0.3842200  1168858547   0.09137672   0.08279016
1.4596800  0.3842200  1168860347   0.17410076   0.16455998
1.4596800  0.3842200  1168862147   0.26071060   0.23213050
1.4596800  0.3842200  1168863947   0.34522110   0.28469765
1.4596800  0.3842200  1168865747   0.42198271   0.32247442
1.4596800  0.3842200  1168867547   0.48605412   0.34659678
1.4596800  0.3842200  1168869347   0.53355575   0.35900185
1.4596800  0.3842200  1168871147   0.56190670   0.36221606
